Ticks;offsetTime;GPSLong;GPSLat;GPSDate;GPSTime;GPSheightMSL;GPShDOP;GPSpDOP;GPSsAcc;GPSnumGPS;GPSnumGLNAS;GPSnumSV;GPS-Koord
212149515;5.391;8.9378919;55.7546188;20181122;100546;42.532;0,042361111;01:13;10:53;12;7;19;8.9378919,55.7546188
212428048;5.453;8.9378922;55.7546189;20181122;100546;42.511;0,042361111;01:13;10:47;12;7;19;8.9378922,55.7546189
212653099;5.503;8.9378922;55.7546189;20181122;100546;42.511;0,042361111;01:13;10:47;12;7;19;8.9378922,55.7546189
212878110;5.553;8.9378922;55.7546189;20181122;100546;42.511;0,042361111;01:13;10:47;12;7;19;8.9378922,55.7546189
213030564;5.587;8.9378922;55.7546189;20181122;100546;42.511;0,042361111;01:13;10:47;12;7;19;8.9378922,55.7546189
213328092;5.653;8.9378923;55.7546189;20181122;100547;42.474;0,045138889;01:17;10:42;11;7;18;8.9378923,55.7546189
213480290;5.687;8.9378923;55.7546189;20181122;100547;42.474;0,045138889;01:17;10:42;11;7;18;8.9378923,55.7546189
213778099;5.753;8.9378923;55.7546189;20181122;100547;42.474;0,045138889;01:17;10:42;11;7;18;8.9378923,55.7546189
213930630;5.787;8.9378923;55.7546189;20181122;100547;42.474;0,045138889;01:17;10:42;11;7;18;8.9378923,55.7546189
214228108;5.853;8.9378923;55.754619;20181122;100547;42.408;0,045138889;01:17;10:36;11;7;18;8.9378923,55.754619
214399184;5.891;8.9378923;55.754619;20181122;100547;42.408;0,045138889;01:17;10:36;11;7;18;8.9378923,55.754619
214678072;5.953;8.9378923;55.754619;20181122;100547;42.408;0,045138889;01:17;10:36;11;7;18;8.9378923,55.754619
214841049;5.989;8.9378923;55.754619;20181122;100547;42.408;0,045138889;01:17;10:36;11;7;18;8.9378923,55.754619
215128045;6.053;8.9378922;55.7546191;20181122;100547;42.351;0,045138889;01:17;10:32;11;7;18;8.9378922,55.7546191
215290602;6.089;8.9378922;55.7546191;20181122;100547;42.351;0,045138889;01:17;10:32;11;7;18;8.9378922,55.7546191
215578097;6.153;8.9378922;55.7546191;20181122;100547;42.351;0,045138889;01:17;10:32;11;7;18;8.9378922,55.7546191
215770608;6.196;8.9378922;55.7546191;20181122;100547;42.351;0,045138889;01:17;10:32;11;7;18;8.9378922,55.7546191
216000181;6.247;8.9378922;55.7546193;20181122;100547;42.306;0,045138889;01:17;10:28;11;7;18;8.9378922,55.7546193
216253040;6.303;8.9378922;55.7546193;20181122;100547;42.306;0,045138889;01:17;10:28;11;7;18;8.9378922,55.7546193
216429102;6.342;8.9378922;55.7546193;20181122;100547;42.306;0,045138889;01:17;10:28;11;7;18;8.9378922,55.7546193
216583545;6.377;8.9378922;55.7546193;20181122;100547;42.306;0,045138889;01:17;10:28;11;7;18;8.9378922,55.7546193
216738822;6.411;8.9378927;55.7546194;20181122;100547;42:23:00;0,046527778;01:02;10:23;11;6;17;8.9378927,55.7546194
216928017;6.453;8.9378927;55.7546194;20181122;100547;42:23:00;0,046527778;01:02;10:23;11;6;17;8.9378927,55.7546194
217153096;6.503;8.9378927;55.7546194;20181122;100547;42:23:00;0,046527778;01:02;10:23;11;6;17;8.9378927,55.7546194
217378047;6.553;8.9378927;55.7546194;20181122;100547;42:23:00;0,046527778;01:02;10:23;11;6;17;8.9378927,55.7546194
217558691;6.593;8.9378940;55.7546194;20181122;100548;42:16:00;0,046527778;01:02;10:19;11;6;17;8.9378940,55.7546194
217828031;6.653;8.9378940;55.7546194;20181122;100548;42:16:00;0,046527778;01:02;10:19;11;6;17;8.9378940,55.7546194
218053086;6.703;8.9378940;55.7546194;20181122;100548;42:16:00;0,046527778;01:02;10:19;11;6;17;8.9378940,55.7546194
218278145;6.753;8.9378940;55.7546194;20181122;100548;42:16:00;0,046527778;01:02;10:19;11;6;17;8.9378940,55.7546194
218430467;6.787;8.9378940;55.7546194;20181122;100548;42:16:00;0,046527778;01:02;10:19;11;6;17;8.9378940,55.7546194
218728055;6.853;8.9378969;55.7546191;20181122;100548;42.063;0,043055556;01:12;10:11;11;8;19;8.9378969,55.7546191
218953069;6.903;8.9378969;55.7546191;20181122;100548;42.063;0,043055556;01:12;10:11;11;8;19;8.9378969,55.7546191
219128377;6.942;8.9378969;55.7546191;20181122;100548;42.063;0,043055556;01:12;10:11;11;8;19;8.9378969,55.7546191
219283367;6.977;8.9378969;55.7546191;20181122;100548;42.063;0,043055556;01:12;10:11;11;8;19;8.9378969,55.7546191
219628033;7.053;8.9379016;55.7546186;20181122;100548;42.025;0,045138889;01:17;10:07;11;7;18;8.9379016,55.7546186
219791222;7.089;8.9379016;55.7546186;20181122;100548;42.025;0,045138889;01:17;10:07;11;7;18;8.9379016,55.7546186
220078059;7.153;8.9379016;55.7546186;20181122;100548;42.025;0,045138889;01:17;10:07;11;7;18;8.9379016,55.7546186
220230581;7.187;8.9379016;55.7546186;20181122;100548;42.025;0,045138889;01:17;10:07;11;7;18;8.9379016,55.7546186
220528040;7.253;8.9379074;55.754618;20181122;100548;42.006;0,045138889;01:17;10:04;11;7;18;8.9379074,55.754618
220680017;7.287;8.9379074;55.754618;20181122;100548;42.006;0,045138889;01:17;10:04;11;7;18;8.9379074,55.754618
220978074;7.353;8.9379074;55.754618;20181122;100548;42.006;0,045138889;01:17;10:04;11;7;18;8.9379074,55.754618
221155153;7.393;8.9379074;55.754618;20181122;100548;42.006;0,045138889;01:17;10:04;11;7;18;8.9379074,55.754618
221428080;7.453;8.9379137;55.7546171;20181122;100548;41.966;00:07;01:27;10:01;10;7;17;8.9379137,55.7546171
221590863;7.489;8.9379137;55.7546171;20181122;100548;41.966;00:07;01:27;10:01;10;7;17;8.9379137,55.7546171
221878098;7.553;8.9379137;55.7546171;20181122;100548;41.966;00:07;01:27;10:01;10;7;17;8.9379137,55.7546171
222070621;7.596;8.9379137;55.7546171;20181122;100548;41.966;00:07;01:27;10:01;10;7;17;8.9379137,55.7546171
222328039;7.653;8.9379189;55.7546162;20181122;100549;41.881;0,049305556;01:31;0,443055556;10;6;16;8.9379189,55.7546162
222553091;7.703;8.9379189;55.7546162;20181122;100549;41.881;0,049305556;01:31;0,443055556;10;6;16;8.9379189,55.7546162
222748937;7.747;8.9379189;55.7546162;20181122;100549;41.881;0,049305556;01:31;0,443055556;10;6;16;8.9379189,55.7546162
222948849;7.791;8.9379226;55.7546159;20181122;100549;41.823;0,053472222;01:39;0,442361111;9;6;15;8.9379226,55.7546159
223228078;7.853;8.9379226;55.7546159;20181122;100549;41.823;0,053472222;01:39;0,442361111;9;6;15;8.9379226,55.7546159
223380189;7.887;8.9379226;55.7546159;20181122;100549;41.823;0,053472222;01:39;0,442361111;9;6;15;8.9379226,55.7546159
223678049;7.953;8.9379226;55.7546159;20181122;100549;41.823;0,053472222;01:39;0,442361111;9;6;15;8.9379226,55.7546159
223841262;7.989;8.9379226;55.7546159;20181122;100549;41.823;0,053472222;01:39;0,442361111;9;6;15;8.9379226,55.7546159
224128038;8.053;8.9379246;55.7546156;20181122;100549;41.78;0,045138889;01:15;0,440277778;11;7;18;8.9379246,55.7546156
224280292;8.087;8.9379246;55.7546156;20181122;100549;41.78;0,045138889;01:15;0,440277778;11;7;18;8.9379246,55.7546156
224578077;8.153;8.9379246;55.7546156;20181122;100549;41.78;0,045138889;01:15;0,440277778;11;7;18;8.9379246,55.7546156
224730716;8.187;8.9379246;55.7546156;20181122;100549;41.78;0,045138889;01:15;0,440277778;11;7;18;8.9379246,55.7546156
225028040;8.253;8.9379255;55.7546156;20181122;100549;41.738;0,043055556;01:12;0,438888889;11;8;19;8.9379255,55.7546156
225253079;8.303;8.9379255;55.7546156;20181122;100549;41.738;0,043055556;01:12;0,438888889;11;8;19;8.9379255,55.7546156
225450581;8.347;8.9379255;55.7546156;20181122;100549;41.738;0,043055556;01:12;0,438888889;11;8;19;8.9379255,55.7546156
225619843;8.385;8.9379255;55.7546156;20181122;100549;41.738;0,043055556;01:12;0,438888889;11;8;19;8.9379255,55.7546156
225900563;8.447;8.9379254;55.7546157;20181122;100549;41.709;0,043055556;01:12;09:09;11;8;19;8.9379254,55.7546157
226153072;8.503;8.9379254;55.7546157;20181122;100549;41.709;0,043055556;01:12;09:09;11;8;19;8.9379254,55.7546157
226378016;8.553;8.9379254;55.7546157;20181122;100549;41.709;0,043055556;01:12;09:09;11;8;19;8.9379254,55.7546157
226570610;8.596;8.9379254;55.7546157;20181122;100549;41.709;0,043055556;01:12;09:09;11;8;19;8.9379254,55.7546157
226828051;8.653;8.9379250;55.7546158;20181122;100550;41.673;0,044444444;01:16;0,436111111;10;8;18;8.9379250,55.7546158
226979117;8.687;8.9379250;55.7546158;20181122;100550;41.673;0,044444444;01:16;0,436111111;10;8;18;8.9379250,55.7546158
227278043;8.753;8.9379250;55.7546158;20181122;100550;41.673;0,044444444;01:16;0,436111111;10;8;18;8.9379250,55.7546158
227429335;8.787;8.9379250;55.7546158;20181122;100550;41.673;0,044444444;01:16;0,436111111;10;8;18;8.9379250,55.7546158
227728069;8.853;8.9379247;55.7546158;20181122;100550;41.636;0,044444444;01:16;0,434722222;10;8;18;8.9379247,55.7546158
227890770;8.889;8.9379247;55.7546158;20181122;100550;41.636;0,044444444;01:16;0,434722222;10;8;18;8.9379247,55.7546158
228178067;8.953;8.9379247;55.7546158;20181122;100550;41.636;0,044444444;01:16;0,434722222;10;8;18;8.9379247,55.7546158
228370532;8.996;8.9379247;55.7546158;20181122;100550;41.636;0,044444444;01:16;0,434722222;10;8;18;8.9379247,55.7546158
228628044;9.053;8.9379249;55.7546155;20181122;100550;41.601;0,044444444;01:16;0,433333333;10;8;18;8.9379249,55.7546155
228853051;9.103;8.9379249;55.7546155;20181122;100550;41.601;0,044444444;01:16;0,433333333;10;8;18;8.9379249,55.7546155
229050416;9.147;8.9379249;55.7546155;20181122;100550;41.601;0,044444444;01:16;0,433333333;10;8;18;8.9379249,55.7546155
229248845;9.191;8.9379260;55.7546149;20181122;100550;41:57:00;00:07;01:33;0,431944444;9;8;17;8.9379260,55.7546149
229528032;9.253;8.9379260;55.7546149;20181122;100550;41:57:00;00:07;01:33;0,431944444;9;8;17;8.9379260,55.7546149
229680239;9.287;8.9379260;55.7546149;20181122;100550;41:57:00;00:07;01:33;0,431944444;9;8;17;8.9379260,55.7546149
229978024;9.353;8.9379260;55.7546149;20181122;100550;41:57:00;00:07;01:33;0,431944444;9;8;17;8.9379260,55.7546149
230149566;9.391;8.9379260;55.7546149;20181122;100550;41:57:00;00:07;01:33;0,431944444;9;8;17;8.9379260,55.7546149
230428035;9.453;8.9379280;55.7546139;20181122;100550;41.548;00:07;01:33;0,43125;9;8;17;8.9379280,55.7546139
230590821;9.489;8.9379280;55.7546139;20181122;100550;41.548;00:07;01:33;0,43125;9;8;17;8.9379280,55.7546139
230878061;9.553;8.9379280;55.7546139;20181122;100550;41.548;00:07;01:33;0,43125;9;8;17;8.9379280,55.7546139
231030570;9.587;8.9379280;55.7546139;20181122;100550;41.548;00:07;01:33;0,43125;9;8;17;8.9379280,55.7546139
231328059;9.653;8.9379310;55.7546123;20181122;100551;41.471;0,044444444;01:16;0,429166667;10;8;18;8.9379310,55.7546123
231553123;9.703;8.9379310;55.7546123;20181122;100551;41.471;0,044444444;01:16;0,429166667;10;8;18;8.9379310,55.7546123
231769296;9.751;8.9379310;55.7546123;20181122;100551;41.471;0,044444444;01:16;0,429166667;10;8;18;8.9379310,55.7546123
231970730;9.796;8.9379310;55.7546123;20181122;100551;41.471;0,044444444;01:16;0,429166667;10;8;18;8.9379310,55.7546123
232210763;9.849;8.9379349;55.7546105;20181122;100551;41:43:00;0,044444444;01:16;0,428472222;10;8;18;8.9379349,55.7546105
232453128;9.903;8.9379349;55.7546105;20181122;100551;41:43:00;0,044444444;01:16;0,428472222;10;8;18;8.9379349,55.7546105
232628509;9.942;8.9379349;55.7546105;20181122;100551;41:43:00;0,044444444;01:16;0,428472222;10;8;18;8.9379349,55.7546105
232783383;9.977;8.9379349;55.7546105;20181122;100551;41:43:00;0,044444444;01:16;0,428472222;10;8;18;8.9379349,55.7546105
233128059;10.053;8.9379399;55.7546083;20181122;100551;41.431;00:07;01:27;0,427083333;10;7;17;8.9379399,55.7546083
233353049;10.103;8.9379399;55.7546083;20181122;100551;41.431;00:07;01:27;0,427083333;10;7;17;8.9379399,55.7546083
233578056;10.153;8.9379399;55.7546083;20181122;100551;41.431;00:07;01:27;0,427083333;10;7;17;8.9379399,55.7546083
233770629;10.196;8.9379399;55.7546083;20181122;100551;41.431;00:07;01:27;0,427083333;10;7;17;8.9379399,55.7546083
234028036;10.253;8.9379448;55.7546055;20181122;100551;41.338;0,044444444;01:16;0,425694444;10;8;18;8.9379448,55.7546055
234253097;10.303;8.9379448;55.7546055;20181122;100551;41.338;0,044444444;01:16;0,425694444;10;8;18;8.9379448,55.7546055
234478066;10.353;8.9379448;55.7546055;20181122;100551;41.338;0,044444444;01:16;0,425694444;10;8;18;8.9379448,55.7546055
234670664;10.396;8.9379448;55.7546055;20181122;100551;41.338;0,044444444;01:16;0,425694444;10;8;18;8.9379448,55.7546055
234928052;10.453;8.9379496;55.7546031;20181122;100551;41:31:00;0,042361111;01:01;0,425;11;8;19;8.9379496,55.7546031
235080179;10.487;8.9379496;55.7546031;20181122;100551;41:31:00;0,042361111;01:01;0,425;11;8;19;8.9379496,55.7546031
235378079;10.553;8.9379496;55.7546031;20181122;100551;41:31:00;0,042361111;01:01;0,425;11;8;19;8.9379496,55.7546031
